track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Dark Sky,https://open.spotify.com/track/4XvDPaoKmHsrgf5eksXNYu,Dark Sky,https://open.spotify.com/album/7A8gtZtoZMbpT0xAYl7ma3,"Teenage Wrist, S.A. Martinez","https://open.spotify.com/artist/79HbBkVgOVUuVhuTJ50pIx, https://open.spotify.com/artist/5dOE9cNjwaLO7AiaXJqnAy",2023-07-24,191323,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Death Train,https://open.spotify.com/track/5mjTiTjHZWMBV2Y81eGsyV,Bellevue,https://open.spotify.com/album/7nGrRTsbZWCSCOmziwf5Sy,THE BOBBY LEES,https://open.spotify.com/artist/5rk0vdxhhpLJ0mgyvx0BZI,2022-10-19,181133,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
DEEP CUTS,https://open.spotify.com/track/2ZTp176VMqvwwcQ62AQuCk,DEEP CUTS,https://open.spotify.com/album/2HbkSg3fAswxdCk5Bj23LO,You Me At Six,https://open.spotify.com/artist/1kNQXvepPjaPgUfeDAF2h6,2022-08-08,254129,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Deep End,https://open.spotify.com/track/3NE8bmyye8sEOQtWknh8Vi,Deep End,https://open.spotify.com/album/3UbtakzdZAkZlaZxRfm35p,Dayglow,https://open.spotify.com/artist/6eJa3zG1QZLRB3xgRuyxbm,2022-08-23,218000,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Demons,https://open.spotify.com/track/3ks8ENzUc9Mjjp75IqYb7C,Are We Bored My Dear,https://open.spotify.com/album/5VFye9ntDQhYa923ZBEYQ8,Slut,https://open.spotify.com/artist/29ZfgngTjiuYf3vqhrM1Ba,2022-07-25,227083,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Desert Train,https://open.spotify.com/track/10Qhc15TzQ829etrUJm88w,Desire Pathway,https://open.spotify.com/album/1YhzVctJR6aIwbkigCS6fu,Screaming Females,https://open.spotify.com/artist/3pZ666b6CyO1KGpVYirY0t,2023-02-20,170013,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Did you know that there's a tunnel under Ocean Blvd,https://open.spotify.com/track/5U1OEoEW4xnalSAToamwZL,Did you know that there's a tunnel under Ocean Blvd,https://open.spotify.com/album/2Dd8cbNS15m10ZV4qYWlGr,Lana Del Rey,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,2022-12-14,285050,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Dignitary Life,https://open.spotify.com/track/7qNChQJDONEcLEBMYm9a3Y,One Stop Shop,https://open.spotify.com/album/1r5vgUrqdgK4kYvddjEap9,Twen,https://open.spotify.com/artist/7iyWvxyp2SxGg3L66TmHbO,2022-07-25,188586,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Disappear,https://open.spotify.com/track/3f8b58bw3MeAWBMpzIqtJ1,Untitled Mixtape,https://open.spotify.com/album/3c1qMM49eBOyoy8626H5Bv,"Carousel Kings, Sunday Friend","https://open.spotify.com/artist/2Dr2zHoPEuASW1kOODc5I2, https://open.spotify.com/artist/5zhwjToLUmF1z0OLItEIan",2023-02-20,188000,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
Don't Count on Me,https://open.spotify.com/track/319N7QUdPMVS1WemoPEZfF,Double Album,https://open.spotify.com/album/4mJ4PBk5yHl3xuyHkly85n,NOFX,https://open.spotify.com/artist/4S2yOnmsWW97dT87yVoaSZ,2022-12-14,259084,2022-08-03,Curated playlist of fresh pop rock&#x2F;indie rock&#x2F;punk rock releases.,New Alternative: Pop Rock/Indie Rock/Punk Rock
