track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Fact Check - 2Spade Remix,https://open.spotify.com/track/2XqJVFoCikwIJqVx4YKRTN,iScreaM Vol.29 : Fact Check Remixes,https://open.spotify.com/album/7BtKnsfFs2zXcpIty9mMqP,"NCT 127, 2Spade","https://open.spotify.com/artist/7f4ignuCJhLXfZ9giKT7rH, https://open.spotify.com/artist/4pgbuGIiSAJXvW5TeXPkfn",2024-02-20,225230,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Fast Forward,https://open.spotify.com/track/7jzOZuWgZ5gaMet9V5Ix1d,GAME PLAN,https://open.spotify.com/album/7xMXoWstClAzBIo5lOAASu,JEON SOMI,https://open.spotify.com/artist/7zYj9S9SdIunYCfSm7vzAR,2023-12-11,160578,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
FEARLESS,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj,FEARLESS,https://open.spotify.com/album/4Mc7WwYH41hgUWeKX25Sot,LE SSERAFIM,https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p,2023-12-11,168437,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Feel the POP,https://open.spotify.com/track/3JnaRKReO6TFGEdhggFWZG,You had me at HELLO,https://open.spotify.com/album/1f7EBZExZ8wFWgacxTLDdM,ZEROBASEONE,https://open.spotify.com/artist/7cjg7EkeZy3OI5o9Qthc6n,2024-05-18,176191,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
FEELING NICE,https://open.spotify.com/track/3XGQt8sjuHBUlgL5wWLpwO,LIVE and FALL,https://open.spotify.com/album/6y9Y5ddQJZTp2QmajWznRd,Xdinary Heroes,https://open.spotify.com/artist/1khChLj7REGqjM043PlYyn,2024-11-12,170200,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
Fighting (Feat. Lee Young Ji),https://open.spotify.com/track/7eBpUuPnDTfbeP1P4P93CS,BSS 1st Single Album 'SECOND WIND',https://open.spotify.com/album/4dHtpne5cAAGgDYFNHu7jW,"BSS, Lee Young Ji","https://open.spotify.com/artist/1uAT5bTSp6dWbNmixIUP5t, https://open.spotify.com/artist/0Y2AcMPMpeuPXtPQGVvRBq",2023-12-11,204466,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
FIREWORK - Korean ver.,https://open.spotify.com/track/3zm2vstYNDymgIelgK8QOk,First Howling : WE,https://open.spotify.com/album/0ouqxqCo93ccmKOXhMz3RC,&TEAM,https://open.spotify.com/artist/2xfxRiKxoHl5tI0MKyvqV7,2024-02-20,188040,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
FLOWER,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s,ME,https://open.spotify.com/album/4QuczuzDZNzCDli5Gz6DQ0,JISOO,https://open.spotify.com/artist/6UZ0ba50XreR4TM8u322gs,2023-12-11,173134,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
FREAK,https://open.spotify.com/track/6ERs9uORCo1MfV0m9ixCuv,YUQ1,https://open.spotify.com/album/7LYc8ngbhwha4aGJ5kVauc,YUQI,https://open.spotify.com/artist/22aCD8IrQZjcPgZw728QT6,2024-05-18,171080,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
FRI(END)S,https://open.spotify.com/track/0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,https://open.spotify.com/album/7v4sqd0NZ9Fm8HnwCcCGIs,V,https://open.spotify.com/artist/3JsHnjpbhX4SnySpvpa9DK,2024-04-08,148082,2023-12-14,Tune in for the year's hottest K-Pop tracks! K-Pop Tunes | K-Pop Mix | K-Pop Boyband | K-Pop Girl Groups | Cover: Stray Kids,K-Pop Hits 2024
