track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
Any Love,https://open.spotify.com/track/7bxvEJTeHETJchJLrjxHPQ,Sonder,https://open.spotify.com/album/0YlJpX1XiE8ghnRJCU0Dwv,Dermot Kennedy,https://open.spotify.com/artist/5KNNVgR6LBIABRIomyCwKJ,2022-11-21,133866,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Are You Awake?,https://open.spotify.com/track/6liAgoBoFdFbKW4ai28HIE,Are You Awake?,https://open.spotify.com/album/6Zxv2rfp6HzEMNW5fb1Un4,Lauren Mayberry,https://open.spotify.com/artist/5PAOxo6t7il1UN7HFurcph,2023-09-04,224429,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Are You Even Real (feat. Givēon),https://open.spotify.com/track/4ZO4HvFADvujrrEidSatEC,Are You Even Real (feat. Givēon),https://open.spotify.com/album/0VpJTeHhzQW6Z13FeBTeJD,"Teddy Swims, GIVĒON","https://open.spotify.com/artist/33qOK5uJ8AR2xuQQAhHump, https://open.spotify.com/artist/4fxd5Ee7UefO4CUXgwJ7IP",2025-02-21,147702,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
artifact 22,https://open.spotify.com/track/1dnN0DI60lCnVEp0YpGCe2,artifact 22,https://open.spotify.com/album/2PFM9dsU68zeAWCA1dbAHb,fearofmakingout,https://open.spotify.com/artist/6dYf0mDvC886saRIV4on5c,2023-07-09,104761,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
artifact 37,https://open.spotify.com/track/4VwN7ukpw2CvoEvX3MtEKK,artifacts 01,https://open.spotify.com/album/0w9GY37KgBG59zla77FBwq,fearofmakingout,https://open.spotify.com/artist/6dYf0mDvC886saRIV4on5c,2023-07-24,103225,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Ascension,https://open.spotify.com/track/4WCEBiPW3xoC0T4wYMXW9U,Ascension,https://open.spotify.com/album/4gh5Xrt4Azk5lCyHanoED1,Sarah Kinsley,https://open.spotify.com/artist/34A8vV1MCxGpA14KspqQuC,2023-06-12,176132,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Ashes By The Morning,https://open.spotify.com/track/1idK6bIrrGRcIPV7UdH3fL,Bored Of The Circus,https://open.spotify.com/album/4oothiJCmPORbNYinRinfo,Kings Elliot,https://open.spotify.com/artist/3iUGCPBBseYhEhwqCG7PNy,2022-09-18,182817,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Assembly Required,https://open.spotify.com/track/6ce7mZm67N4CB6llmyRPib,Assembly Required,https://open.spotify.com/album/3xEUUVwjNVvTaHQjcpea8O,Olivia Penalva,https://open.spotify.com/artist/6ytGxUYeXamODJwiXuZvjO,2022-09-27,225684,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Aura,https://open.spotify.com/track/3FcNx0xneevygzqjZaSDIo,Aura,https://open.spotify.com/album/1i3MA9Eamgjk3SKYFo0zdn,Cuco,https://open.spotify.com/artist/2Tglaf8nvDzwSQnpSrjLHP,2022-07-10,207024,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
Baby Benzing,https://open.spotify.com/track/422nNdTyp1em6ZsctFoc2B,Aloha Soul 1,https://open.spotify.com/album/5sBtr4v8F3m4P1c06LAEc6,Eli Smart,https://open.spotify.com/artist/20ZPpiSCh8TSt6Vq07zrcb,2022-11-28,160729,2022-06-10,"Just chill the F*** out to our mix of relaxing hits. Tune in for tracks from Billie Eilish, Olivia Rodrigo, Taylor Swift and many many more! Chill Pop | Relaxing Pop | Chill Vibes | Lazy Sundays | Chilled Mix",Chill the F*** out - Relaxing Vibes
