track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
La Belle Epoque,https://open.spotify.com/track/15M6SHzRlL4uSdgRTQtH33,Tigerdrottningen,https://open.spotify.com/album/0ntmUPwjfE9iGGM9qHglCm,kent,https://open.spotify.com/artist/4KXp3xtaz1wWXnu5u34eVX,2014-11-20,238000,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Latch,https://open.spotify.com/track/51ODNNDZm21HU7wI7cccRr,Settle (Special Edition),https://open.spotify.com/album/7bdjtx1RTkWoSoOaIl7a8E,"Disclosure, Sam Smith","https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et, https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI",2014-11-20,255631,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Let Her Go,https://open.spotify.com/track/7DFNE7NO0raLIUbgzY2rzm,All The Little Lights,https://open.spotify.com/album/2mylGx7w2Q3yhUyN8iEWOF,Passenger,https://open.spotify.com/artist/0gadJ2b9A4SKsB1RFkBb66,2014-11-20,252866,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
"Let It Go - From ""Frozen""/Soundtrack Version",https://open.spotify.com/track/0qcr5FMsEO85NAQjrlDRKo,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),https://open.spotify.com/album/7lZs5r4oQV2nutddffLrg0,Idina Menzel,https://open.spotify.com/artist/73Np75Wv2tju61Eo9Zw4IR,2014-11-20,223840,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Love Runs Out,https://open.spotify.com/track/5BJSZocnCeSNeYMj3iVqM7,Native,https://open.spotify.com/album/2bbhW5ifCwOYM8DMkqoYBF,OneRepublic,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,2014-11-20,224226,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Lovers on the Sun (feat. Sam Martin),https://open.spotify.com/track/5wQeCrJTJxGZnILnyCBHjI,Lovers on the Sun EP,https://open.spotify.com/album/7kGfNb6k7XILgPtIHTFrQL,"David Guetta, Sam Martin","https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai, https://open.spotify.com/artist/66AE89GQTx88zLYhXn1wFK",2014-11-20,203520,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Magic,https://open.spotify.com/track/23khhseCLQqVMCIT1WMAns,Ghost Stories,https://open.spotify.com/album/2G4AUqfwxcV1UdQjm2ouYr,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,2014-11-20,285014,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Maps,https://open.spotify.com/track/0DKT3yIip1M0W0J1HYS1ru,V (Deluxe),https://open.spotify.com/album/2xOAAj0YESnHbb0Fcrle5N,Maroon 5,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,2014-11-20,189973,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Me And My Broken Heart,https://open.spotify.com/track/2rJojRundKuKFgbvmCAYva,Me And My Broken Heart,https://open.spotify.com/album/7aC4UlUmofbGlAX7j9X79V,Rixton,https://open.spotify.com/artist/0kkxsdcaWmWU2yWAqclDh4,2014-11-20,193826,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
Money On My Mind,https://open.spotify.com/track/3PRLM4FzhplXfySa4B7bxS,In The Lonely Hour (Deluxe Edition),https://open.spotify.com/album/7p7RFI5jtwYDknwhnQgmlp,Sam Smith,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,2014-11-20,192670,2021-12-21,Sweden couldn&#x27;t get enough of these tracks in 2014! See how the rest of the world listened at spotify.com&#x2F;2014. *Includes artists currently available on Spotify.,Top 100 tracks of 2014 - Sweden
